schema_version,run_id,system_name,system_class,primary_status,reported_metric_display,reported_metric_name,reported_metric_value,reported_metric_unit,normalized_success_rate,directly_comparable,comparability_caveat,comparability_note,caveat_tags,source_note,paper_table_note
cognition.revision.paper_baseline_table.v1,sota_baselines,Halligan,specialized_solver,adapter-run,success_rate=0.607 rate,success_rate,0.607,rate,,False,caveats: dataset-mismatch,Approximate/contextual evidence only; do not read as direct parity.,"[""dataset-mismatch""]",https://www.usenix.org/system/files/usenixsecurity25-teoh.pdf,validated import diagnostic present but not directly comparable
cognition.revision.paper_baseline_table.v1,sota_baselines,Halligan,benchmark_dataset,adapter-run,success_rate=0.607 rate,success_rate,0.607,rate,,False,"caveats: dataset-mismatch, threat-model-mismatch",Approximate/contextual evidence only; do not read as direct parity.,"[""dataset-mismatch"", ""threat-model-mismatch""]",https://www.usenix.org/system/files/usenixsecurity25-teoh.pdf,validated import diagnostic present but not directly comparable
cognition.revision.paper_baseline_table.v1,sota_baselines,Oedipus,specialized_solver,literature-only,average_success_rate=0.635 rate,average_success_rate,0.635,rate,,False,"literature-only evidence is not a direct head-to-head result; caveats: artifact-unavailable, license-unclear, metric-mismatch; no validated import diagnostic row",Approximate/contextual evidence only; do not read as direct parity.,"[""artifact-unavailable"", ""license-unclear"", ""metric-mismatch""]",https://arxiv.org/abs/2405.07496,literature-only approximate context
cognition.revision.paper_baseline_table.v1,sota_baselines,VTTSolver,specialized_solver,literature-only,success_rate: not reported,success_rate,,rate,,False,"literature-only evidence is not a direct head-to-head result; caveats: dataset-mismatch, license-unclear; no validated import diagnostic row",Approximate/contextual evidence only; do not read as direct parity.,"[""dataset-mismatch"", ""license-unclear""]",https://www.usenix.org/system/files/usenixsecurity25-teoh.pdf,literature-only approximate context
cognition.revision.paper_baseline_table.v1,sota_baselines,PhishDecloaker,specialized_solver,literature-only,success_rate: not reported,success_rate,,rate,,False,"literature-only evidence is not a direct head-to-head result; caveats: threat-model-mismatch, license-unclear; no validated import diagnostic row",Approximate/contextual evidence only; do not read as direct parity.,"[""threat-model-mismatch"", ""license-unclear""]",https://www.usenix.org/system/files/usenixsecurity25-teoh.pdf,literature-only approximate context
